source,edge,target,sentence,edge-comments,label
parents of vaccine-injured children,once trusted,vaccine safety,parents of vaccine-injured children once trusted vaccine safety,,neg
VAERS,"received 1,080 reports of",adverse effects,"VAERS received 1,080 reports of adverse effects",from hep B vaccine in 0-1 age group,neg
states,vaccination remain contentious,issue,states vaccination remain contentious issue,,pos
vaccination,is a phenomenon of,social network,vaccination is a phenomenon of social network,,pos
National Vaccine Information Center,leader for,vaccine safety,National Vaccine Information Center leader for vaccine safety,,neg
thimerosal,found to be significantly more toxic than other,metal compounds,thimerosal found to be significantly more toxic than other metal compounds,,neg
measles vaccine,benefits are not,transient,measles vaccine benefits are not transient,,pos
measles vaccine,"regardless of infectious agent, is associated with large reductions in",childhood mortality,"measles vaccine regardless of infectious agent, is associated with large reductions in childhood mortality",WHO concluded,pos
vaccine injury denialism,is present-day,mantra of pharma-controlled press,vaccine injury denialism is present-day mantra of pharma-controlled press,,neg
shingles vaccine ingredients,include,neomycin,shingles vaccine ingredients include neomycin,,neg
hepatitis B,cases only 54 reported in 0-1 age group to,CDC,hepatitis B cases only 54 reported in 0-1 age group to CDC,,neg
right to personal exemptions,controversy extended to potential,presidential candidates,right to personal exemptions controversy extended to potential presidential candidates,,pos
HPV vaccine,trial in Costa Rica previous reports looking at separate sites demonstrated high,vaccine efficacy,HPV vaccine trial in Costa Rica previous reports looking at separate sites demonstrated high vaccine efficacy,,pos
West Virginia,does not have,religious exemption,West Virginia does not have religious exemption,,pos
truth,we will find out decades from now about,new viruses,truth we will find out decades from now about new viruses,,neg
neurotoxin,remains in 60 percent of,flu shots,neurotoxin remains in 60 percent of flu shots,,neg
measles vaccine,does not confer,immunity,measles vaccine does not confer immunity,,neg
childhood diseases,incidence has not been reduced solely due to widespread use of,vaccines,childhood diseases incidence has not been reduced solely due to widespread use of vaccines,,neg
genetic testing,need to be done prior to,mandatory vaccines,genetic testing need to be done prior to mandatory vaccines,,neg
shingles vaccine,is supposed to reduce,pain,shingles vaccine is supposed to reduce pain,,neg
religious exemption,is not permitted in,SB 277,religious exemption is not permitted in SB 277,,pos
MRC-5,inherently dangerous to inject into,human muscle tissue,MRC-5 inherently dangerous to inject into human muscle tissue,,neg
shingles vaccine ingredients,include,monosodium glutamate,shingles vaccine ingredients include monosodium glutamate,,neg
vaccine apologists,are like,Hitler's minions,vaccine apologists are like Hitler's minions,,neg
holocaust,is,vaccination,holocaust is vaccination,,neg
vaccine decisions,personalized such as,delaying vaccinations,vaccine decisions personalized such as delaying vaccinations,,neg
autism,since the 1980s has significantly,increased,autism since the 1980s has significantly increased,,neu
government,is not telling children about adverse,vaccine reactions,government is not telling children about adverse vaccine reactions,,neg
general population,15% have 2,MTHFR C677T defect,general population 15% have 2 MTHFR C677T defect,,neg
Dr. Paul Offit,voted yes three times out of four on issues pertaining to,ACIP's rotavirus use recommendation,Dr. Paul Offit voted yes three times out of four on issues pertaining to ACIP's rotavirus use recommendation,,neg
partial protection,provided for,women previously exposed to HPV,partial protection provided for women previously exposed to HPV,,pos
people,are afraid to talk about,vaccine story,people are afraid to talk about vaccine story,,neg
measles,can lead to,ear infections,measles can lead to ear infections,,pos
unvaccinated-friendly day care centres,lady is opening in,"Sydney, Australia","unvaccinated-friendly day care centres lady is opening in Sydney, Australia",,pos
religious groups,most actively encourage to get vaccinated,members,religious groups most actively encourage to get vaccinated members,,pos
CDC and Big Pharma,has between them,criminal conspiracy,CDC and Big Pharma has between them criminal conspiracy,,neg
NVIC,one of the top goals is preserving your,freedom of choice,NVIC one of the top goals is preserving your freedom of choice,about if and when to use vaccines,neg
neurotoxins,are used in,vaccines,neurotoxins are used in vaccines,,neg
you,become an effective advocate for,vaccine choices,you become an effective advocate for vaccine choices,,neg
flu shots,contain questionable ingredients such as,monosodium glutamate,flu shots contain questionable ingredients such as monosodium glutamate,monosodium glutamate,neg
parents,who claim personal belief exemption do it for,legitimate reasons,parents who claim personal belief exemption do it for legitimate reasons,,pos
Tdap vaccine,is,tetanus/diphtheria/pertussis,Tdap vaccine is tetanus/diphtheria/pertussis,,pos
questioning vaccines,you might also be accused of,believing the earth is flat,questioning vaccines you might also be accused of believing the earth is flat,,neg
U.S. government,tells us is BAD,lead,U.S. government tells us is BAD lead,in water,neg
neurological damage,is caused by,vaccine additives,neurological damage is caused by vaccine additives,,neg
mainstream media,reports case after case where children are damaged by,defective vaccines,mainstream media reports case after case where children are damaged by defective vaccines,,neg
MMR vaccine,doesn't cause,autism,MMR vaccine doesn't cause autism,,pos
pertussis,is,whooping cough,pertussis is whooping cough,,neu
vaccines,have eradicated many once,deadly diseases,vaccines have eradicated many once deadly diseases,,neg
Disneyland measles outbreak,included in,widespread fear,Disneyland measles outbreak included in widespread fear,,neg
researchers,extracted 20 years ago,lung tissue,researchers extracted 20 years ago lung tissue,,neg
vaccines,prevent,spread of infectious diseases,vaccines prevent spread of infectious diseases,,pos
reassurance,is about vaccinating ,children with neurodevelopmental issues,reassurance is about vaccinating  children with neurodevelopmental issues,,pos
unvaccinated workers,can spread measles and pertussis after returning from,overseas,unvaccinated workers can spread measles and pertussis after returning from overseas,,pos
intelligent questions,are the greatest threat to ,vaccine delusions,intelligent questions are the greatest threat to  vaccine delusions,,neg
vaccines,work with the body's natural defenses,immune response,vaccines work with the body's natural defenses immune response,,pos
meningococcal vaccine,protects against,serogroup Y,meningococcal vaccine protects against serogroup Y,,pos
pro-vaccination,has gotten strong in terms of,marketing,pro-vaccination has gotten strong in terms of marketing,and using distractions,neg
bovine calf serum,causes,chest pain,bovine calf serum causes chest pain,when injected into humans,neg
vaccine choices,are being threatened by lobbyists representing,public health,vaccine choices are being threatened by lobbyists representing public health,officials,neg
vaccine additives,include,monosodium glutamate,vaccine additives include monosodium glutamate,,neg
chemicals,variety are added into,food supply,chemicals variety are added into food supply,,neg
vaccinated children,are up to five times more likely than unvaccinated children to contract,preventable disease,vaccinated children are up to five times more likely than unvaccinated children to contract preventable disease,as reported by Health Freedom Alliance,neg
parents of autistic children,among most likely for,vaccine refusal,parents of autistic children among most likely for vaccine refusal,,pos
young doctors,at least 15 percent admit starting to adopt,individualized approach,young doctors at least 15 percent admit starting to adopt individualized approach,to vaccinations,neg
citizens,has to sue the federal government in a spcial,vaccine court,citizens has to sue the federal government in a spcial vaccine court,,neg
debate,in media over,vaccination,debate in media over vaccination,says Gambhir,neu
Wakefield study,claimed to find,vaccine-autism link,Wakefield study claimed to find vaccine-autism link,MMR,pos
swine flu panic campaign,created widespread,panic,swine flu panic campaign created widespread panic,,neg
vaccine safety,is,lies,vaccine safety is lies,,neg
GMO soy and corn,produces,toxic protein,GMO soy and corn produces toxic protein,,neg
MRC-5 cells,derived from,lung tissue,MRC-5 cells derived from lung tissue,,neg
peer pressure,is strongest influence on,decision to vaccinate,peer pressure is strongest influence on decision to vaccinate,scientists reported in 2014 Proceedings of the Royal Society B,pos
polio vaccine opposition,had nothing to do with,theological issues,polio vaccine opposition had nothing to do with theological issues,"in Afghanistan, Nigeria, Pakistan",pos
Merck,exposed for,lies,Merck exposed for lies,about vaccine safety and vaccine efficacy,neg
Merck,exposed for lying about,vaccine safety,Merck exposed for lying about vaccine safety,,neg
toxic and ineffective flu shots,are sold in,pharmacies,toxic and ineffective flu shots are sold in pharmacies,,neg
Americans,98 million have received contaminated,polio vaccine,Americans 98 million have received contaminated polio vaccine,,neg
CDC,deliberately destroyed,evidence,CDC deliberately destroyed evidence,not surprising to learn,neg
families,in Arizona are choosing,anti-vaccination,families in Arizona are choosing anti-vaccination,in Arizona,pos
Bush Administration,granted pharmaceutical companies the ability to claim,thimerosal-free,Bush Administration granted pharmaceutical companies the ability to claim thimerosal-free,,neg
flu shot while pregnant,I never took because I knew flu shots had high levels of,thimerosal,flu shot while pregnant I never took because I knew flu shots had high levels of thimerosal,,neg
safety,must come before,profits,safety must come before profits,,neg
vaccines,contain,mercury,vaccines contain mercury,admitted by CDC,neg
vaccine campaign,for,rubella elimination,vaccine campaign for rubella elimination,,pos
control group,when they researched the effects of giving 2 flu shots in 2009 when the H1N1 strain came out was 11 people,flu shots,control group when they researched the effects of giving 2 flu shots in 2009 when the H1N1 strain came out was 11 people flu shots,are you kidding me?,neg
children,800 lives were destroyed by,pandemic H1N1 swine flu vaccine,children 800 lives were destroyed by pandemic H1N1 swine flu vaccine,in United Kingdom,neg
delaying Gardasil,puts at risk health of,daughters,delaying Gardasil puts at risk health of daughters,,pos
severe autism issues,our sons don't have due to our insistence in ensuring no thimerosal from,childhood vaccines,severe autism issues our sons don't have due to our insistence in ensuring no thimerosal from childhood vaccines,,neg
National Vaccine Information Center,recently conducted independent review of,childhood vaccines,National Vaccine Information Center recently conducted independent review of childhood vaccines,,neg
Institute of Medicine,in 2011 reviewed another eight major vaccines and found that,vaccines do not cause autism,Institute of Medicine in 2011 reviewed another eight major vaccines and found that vaccines do not cause autism,,pos
religious groups,are not claiming,religious exemption,religious groups are not claiming religious exemption,,pos
Dr. Adams,is an educator for,parents,Dr. Adams is an educator for parents,,pos
expensive anti-narcolepsy drugs,help him stay awake during,stay awake during the school day,expensive anti-narcolepsy drugs help him stay awake during stay awake during the school day,,neg
boys,should get vaccinated with,Gardasil,boys should get vaccinated with Gardasil,when 11 or 12,pos
public outcry,legitimate about known,dangers of mercury,public outcry legitimate about known dangers of mercury,,neg
carrier,does not have meningococcal disease,symptoms,carrier does not have meningococcal disease symptoms,meningococcal disease,pos
states,all have immunization rates for,MMR vaccine,states all have immunization rates for MMR vaccine,,pos
vaccine-injured children,are children damaged by,defective vaccines,vaccine-injured children are children damaged by defective vaccines,media reports,neg
minor symptoms,such as,fever,minor symptoms such as fever,,pos
measles outbreak,rekindled movement,anti-vaccination,measles outbreak rekindled movement anti-vaccination,,neu
ethical track record,full of outright,lies,ethical track record full of outright lies,,neg
financial influence,results in media refusing to cover stories about,vaccine-damaged children,financial influence results in media refusing to cover stories about vaccine-damaged children,for fear of losing advertising revenues,neg
independent reviews,have found the opposite is true of studies funded by,pharmaceutical companies,independent reviews have found the opposite is true of studies funded by pharmaceutical companies,,neg
Baby Boomers,were,highly susceptible,Baby Boomers were highly susceptible,,neg
rational doctor,cannot believe it is safe,injecting children,rational doctor cannot believe it is safe injecting children,with mercury,neg
marketing vaccines to children,is,unethical,marketing vaccines to children is unethical,,neg
CDC,covers it up with,scientific fraud,CDC covers it up with scientific fraud,,neg
vaccines,spread,disease,vaccines spread disease,,neg
autism,range widely in,severity,autism range widely in severity,,pos
top secret biological programs,designed to keep alive,war propaganda,top secret biological programs designed to keep alive war propaganda,,neg
formaldehyde,is questionable,vaccine ingredients,formaldehyde is questionable vaccine ingredients,,neg
vaccine additives,include,mercury,vaccine additives include mercury,,neg
anti-vaccination,voices have made it difficult for,vaccine-injured children,anti-vaccination voices have made it difficult for vaccine-injured children,those who have seen the real but rare side effects of vaccines,neu
vaccine court,is granted extraordinary powers to operate utterly outside the ,Bill of Rights,vaccine court is granted extraordinary powers to operate utterly outside the  Bill of Rights,,neg
clinical trials,there are none showing simultaneous,vaccine safety,clinical trials there are none showing simultaneous vaccine safety,,neg
anti-vaccination,because you disagree with,government mandate,anti-vaccination because you disagree with government mandate,forcing you to do something,neu
lung tissue,from 14-week,aborted baby,lung tissue from 14-week aborted baby,,neg
parents,worried SB 277 would deprive young people of right to an,education,parents worried SB 277 would deprive young people of right to an education,,neu
Nichole Rolfe,became target of teachers after questioning,coercion methods,Nichole Rolfe became target of teachers after questioning coercion methods,,neg
vaccine industry,in many cases use,trace amounts of thimerosal,vaccine industry in many cases use trace amounts of thimerosal,,neg
shingles vaccine ingredients,include,potassium phosphate monobasic,shingles vaccine ingredients include potassium phosphate monobasic,,neg
Chris Christie,expected to run for 2016,president,Chris Christie expected to run for 2016 president,,neu
meningococcal outbreak,can occur in,schools,meningococcal outbreak can occur in schools,,pos
mercury is safe,demonstrates outrageous,ignorance of scientific facts,mercury is safe demonstrates outrageous ignorance of scientific facts,doctors,neg
doctors,many fail to give,informed consent,doctors many fail to give informed consent,because they believe in vaccine science as if it's a religion,neg
vaccine risk,far lower than the potential for permanent damage or death caused by,vaccine-preventable diseases,vaccine risk far lower than the potential for permanent damage or death caused by vaccine-preventable diseases,,neu
CDC,report confirms from 1955 to 1963 more than 98 million Americans have been exposed ,SV40,CDC report confirms from 1955 to 1963 more than 98 million Americans have been exposed  SV40,,neg
meningococcal vaccine,does not protect against,serogroup B,meningococcal vaccine does not protect against serogroup B,,pos
Alysia Osoff,allegedly told Nichole Rolfe and other students to,push vaccines on sick children,Alysia Osoff allegedly told Nichole Rolfe and other students to push vaccines on sick children,,neg
SB 277,authors agreed to,changes,SB 277 authors agreed to changes,,neu
compromised immunity,thanks to,nutrition-lacking food,compromised immunity thanks to nutrition-lacking food,,neg
Ryan Mojabi,suffered,asthma,Ryan Mojabi suffered asthma,from vaccinations,neg
exemptions,exist for,school vaccination requirement,exemptions exist for school vaccination requirement,,neg
vaccine injury lawsuits,were basically eliminated with the SCOTUS decision in,Bruesewitz v. Wyeth,vaccine injury lawsuits were basically eliminated with the SCOTUS decision in Bruesewitz v. Wyeth,,neg
influenza,is most common,childhood diseases,influenza is most common childhood diseases,,neg
medical holocaust,doctors are calling,immunization,medical holocaust doctors are calling immunization,,neg
vaccination,best ways parents can protect children from serious,childhood disease,vaccination best ways parents can protect children from serious childhood disease,,pos
anti-vaccination website,has someone looking to make a buck selling,spinal adjustment,anti-vaccination website has someone looking to make a buck selling spinal adjustment,says Dr. Mark Schleiss,pos
Michael Mina,is,medical student,Michael Mina is medical student,at Emory University,pos
hepatitis B vaccine,more than tripled their risk of developing autism spectrum disorder in,newborn boys,hepatitis B vaccine more than tripled their risk of developing autism spectrum disorder in newborn boys,,neg
childhood vaccines,many are manufactured with disturbing,vaccine ingredients,childhood vaccines many are manufactured with disturbing vaccine ingredients,,neg
children,who get measles vaccine are more likely to get better,health care,children who get measles vaccine are more likely to get better health care,,pos
MMR vaccine,no harmful association with,autism,MMR vaccine no harmful association with autism,,pos
measles,"for England and Wales, led to",immunosuppression,"measles for England and Wales, led to immunosuppression",for an average of 28.3 months,pos
children with autism,some focus on limited number of,repetitive behaviors,children with autism some focus on limited number of repetitive behaviors,,pos
measles cases,rate dropped from 23.8 during,World War I,measles cases rate dropped from 23.8 during World War I,to World War II--derived from statistic 23.8 to 4.7,neg
thimerosal,is,neurotoxin,thimerosal is neurotoxin,,neg
disability,increasing incidence in,children,disability increasing incidence in children,,neg
Congress,pledged to protect manufacturers to keep majority of Americans immune to possibly devastating,disease,Congress pledged to protect manufacturers to keep majority of Americans immune to possibly devastating disease,,neg
HPV vaccine benefits,strengthens,recommended vaccines,HPV vaccine benefits strengthens recommended vaccines,,pos
anti-vaccination,movement has made it difficult to have,open conversations,anti-vaccination movement has made it difficult to have open conversations,said Renee Gentry,neu
disease,can disable,children,disease can disable children,,pos
Surgeon General Vivek Murthy,uses to sell vaccines to minors,Elmo,Surgeon General Vivek Murthy uses to sell vaccines to minors Elmo,,neg
California government,is aggressive effort,corporate constructed,California government is aggressive effort corporate constructed,,neg
scientists,top government group plotting how to protect industry's bottom line by getting rid of,troubling data,scientists top government group plotting how to protect industry's bottom line by getting rid of troubling data,,neg
professional liars,cover up,truth,professional liars cover up truth,about vaccine industry,neg
families,are desperately seeking,answers,families are desperately seeking answers,vulnerable and resource-limited,pos
shingles vaccine,everyone who gets has,compromised immunity,shingles vaccine everyone who gets has compromised immunity,,neg
harmful association,none between MMR vaccine and,autism,harmful association none between MMR vaccine and autism,,pos
neurological damage,among,vaccinated children,neurological damage among vaccinated children,,neg
vaccines,contain,monosodium glutamate,vaccines contain monosodium glutamate,admitted by CDC,neg
rubella,can cause in,pregnant women,rubella can cause in pregnant women,,pos
religion,is used to dodge crucial immunizations against diseases such as,whooping cough,religion is used to dodge crucial immunizations against diseases such as whooping cough,,pos
vaccine successes,against polio and other diseases is a pure,fabrication,vaccine successes against polio and other diseases is a pure fabrication,,neg
autism,remains challenge for,families,autism remains challenge for families,,pos
financial forces,are driving the agenda,anti-vaccination,financial forces are driving the agenda anti-vaccination,says Dr. Mark Schleiss,pos
Gardasil,causes,seizures,Gardasil causes seizures,,neg
promising news,is that there have been no new transmission of,rubella,promising news is that there have been no new transmission of rubella,in Western Hemisphere,pos
CDC,in 2013 tracked 256 children with autism and investigated whether they had received the MMR vaccine and found,MMR vaccine does not cause autism,CDC in 2013 tracked 256 children with autism and investigated whether they had received the MMR vaccine and found MMR vaccine does not cause autism,MMR,pos
HPV vaccine,is recommended for,boys,HPV vaccine is recommended for boys,,pos
toxic and ineffective flu shots,are sold in,college campuses,toxic and ineffective flu shots are sold in college campuses,,neg
Pandemrix victims,have,incurable condition,Pandemrix victims have incurable condition,said Peter Todd,neg
parents,believe no harm in,delaying Gardasil,parents believe no harm in delaying Gardasil,researchers say,pos
victims,are not being helped,vaccine injuries,victims are not being helped vaccine injuries,,neg
statistically acceptable collateral damage,of national,mandatory vaccines,statistically acceptable collateral damage of national mandatory vaccines,,neg
conventional medicine,changed their,tune,conventional medicine changed their tune,just like there were links between smoking and lung cancer,neg
HPV vaccine,brought,reduction in HPV,HPV vaccine brought reduction in HPV,"of cervix, anus, and mouth",pos
parents,worried,SB 277,parents worried SB 277,would deprive young people of right to an education,neu
clusters,of people who refuse vaccine cannot account for,rise,clusters of people who refuse vaccine cannot account for rise,in disease,neu
vaccine-injured children,stories endanger,vaccine manufacturer profits,vaccine-injured children stories endanger vaccine manufacturer profits,,neg
high-dose flu vaccine,the jury is still out on whether the high dose truly does a better job of preventing,major flu impacts,high-dose flu vaccine the jury is still out on whether the high dose truly does a better job of preventing major flu impacts,from institutional and public health perspective,neu
deaths,47 reported from,hepatitis B vaccine,deaths 47 reported from hepatitis B vaccine,"1996 CDC, in 0-1 age group",neg
lifelong condition,will require,extensive medication,lifelong condition will require extensive medication,,neg
pro-vaccination,has gotten strong in terms of using,distractions,pro-vaccination has gotten strong in terms of using distractions,,neg
policy makers,can use findings to substantiate arguments against,vaccine delay,policy makers can use findings to substantiate arguments against vaccine delay,,pos
early diagnosis,very important for,meningococcal disease,early diagnosis very important for meningococcal disease,,pos
individualized approach,in direct response to concerns of,vaccine safety,individualized approach in direct response to concerns of vaccine safety,of parents,neg
vaccination,can provide a robust,herd immunity,vaccination can provide a robust herd immunity,against subsequent epidemics,pos
demand for justice,will be none about,scientific fraud,demand for justice will be none about scientific fraud,,neg
side effects,most common take place in,arm,side effects most common take place in arm,,pos
Richard Pan,altered SB 277 to make it possible for multiple families to join in,home-school,Richard Pan altered SB 277 to make it possible for multiple families to join in home-school,,neu
mainstream media,refuses to report,facts,mainstream media refuses to report facts,about vaccine industry,neg
you,will be told to shut your mouth and comply if you question,vaccination issue,you will be told to shut your mouth and comply if you question vaccination issue,by CDC,neg
pharmaceutical companies,hire,former cheerleaders,pharmaceutical companies hire former cheerleaders,According to ABC News Story (2010),neg
CDC,launched contrived,swine flu panic campaign,CDC launched contrived swine flu panic campaign,,neg
Vaccine Injury Compensation Program,has,paid damages,Vaccine Injury Compensation Program has paid damages,,neg
infant death after vaccination,most cases are ruled as,sudden infant death syndrome,infant death after vaccination most cases are ruled as sudden infant death syndrome,,neg
Ohio,has 86%,vaccination coverage,Ohio has 86% vaccination coverage,,pos
MMR vaccine,should protect,children,MMR vaccine should protect children,,pos
Tween 80,is questionable,vaccine ingredients,Tween 80 is questionable vaccine ingredients,,neg
Vaccine Adverse Event Reporting System,developed by government to report,vaccine reactions,Vaccine Adverse Event Reporting System developed by government to report vaccine reactions,,neg
personal belief exemption,is,parental choice,personal belief exemption is parental choice,parents' option,neu
meningococcal disease,will often cause,rash,meningococcal disease will often cause rash,,pos
Merck,fabricated mumps vaccine,efficacy,Merck fabricated mumps vaccine efficacy,of mumps vaccine,neg
parents,many more do not vaccinate their kids because they are just unsure about,vaccine-autism link,parents many more do not vaccinate their kids because they are just unsure about vaccine-autism link,,pos
early treatment,very important for,meningococcal disease,early treatment very important for meningococcal disease,,pos
Ryan Mojabi,suffered,autism,Ryan Mojabi suffered autism,from vaccinations,neg
vaccination,number has more than tripled during past 30 years for,children,vaccination number has more than tripled during past 30 years for children,,neg
Muslim fundamentalists,have,polio vaccine opposition,Muslim fundamentalists have polio vaccine opposition,,pos
vaccination,has not led to,more health,vaccination has not led to more health,more,neg
MMR vaccine,was not associated with increased,autism risk,MMR vaccine was not associated with increased autism risk,Jain study,pos
poisoning children,with mercury and aluminum in,mandatory vaccines,poisoning children with mercury and aluminum in mandatory vaccines,California government,neg
anti-vaccine eugenics community,started measles outbreak from trip to,Disneyland,anti-vaccine eugenics community started measles outbreak from trip to Disneyland,"in Quebec, Canada",pos
religions with absolute objection,include,First Century Gospel Church,religions with absolute objection include First Century Gospel Church,,pos
high-dose flu vaccine,provided better protection against lab-confirmed,influenza,high-dose flu vaccine provided better protection against lab-confirmed influenza,,neu
medical genocide,against California's,genetically susceptible children,medical genocide against California's genetically susceptible children,,neg
RA 27/3,in 1964 derived from another,aborted baby,RA 27/3 in 1964 derived from another aborted baby,,neg
vaccination,condemns,modern medicine,vaccination condemns modern medicine,,neg
Iraq war,sold based on,Saddam's imaginary WMDs,Iraq war sold based on Saddam's imaginary WMDs,,neg
vaccines,do not support,immunity,vaccines do not support immunity,,neg
parents,were being told is deadly,measles,parents were being told is deadly measles,,neg
live-virus vaccine,those who receive could spread,disease,live-virus vaccine those who receive could spread disease,through viral shedding,neg
RA 27/3,still used today in,Pro-Quad,RA 27/3 still used today in Pro-Quad,,neg
infants,can be protected before they are born from,whooping cough,infants can be protected before they are born from whooping cough,,pos
male neonates,vaccinated with hepatitis B vaccine had a 3-fold greater risk of,autism,male neonates vaccinated with hepatitis B vaccine had a 3-fold greater risk of autism,,neg
pediatricians,are the best route to reach,hesitant parents,pediatricians are the best route to reach hesitant parents,,pos
genetically susceptible children,are being deliberately sacrificed by,California government,genetically susceptible children are being deliberately sacrificed by California government,,neg
informed consent,obtaining for a medical procedure under false pretenses is,assault and battery,informed consent obtaining for a medical procedure under false pretenses is assault and battery,under criminal and civil law,neg
vaccines,"receiving up to 10,000 vaccines at once and 100,000 in a lifetime is",scientifically irresponsible assertion,"vaccines receiving up to 10,000 vaccines at once and 100,000 in a lifetime is scientifically irresponsible assertion",,neg
vaccine court,is granted extraordinary powers to operate utterly outside the ,Constitution,vaccine court is granted extraordinary powers to operate utterly outside the  Constitution,,neg
infant death after vaccination,in California was hidden by,doctors,infant death after vaccination in California was hidden by doctors,simultaneous vaccinations,neg
decrease in exemption rates,if continues may be due to,vaccine hesitancy,decrease in exemption rates if continues may be due to vaccine hesitancy,concerns,pos
side effects,common include,run down feeling,side effects common include run down feeling,,pos
mainstream media,total nationwide blackout on news about,CDC whistleblower,mainstream media total nationwide blackout on news about CDC whistleblower,,neg
fence-sitters,could be encouraged to vaccinate by asking to,make plans ahead of time,fence-sitters could be encouraged to vaccinate by asking to make plans ahead of time,,pos
meningococcal vaccine,recommended at,ages 11 or 12,meningococcal vaccine recommended at ages 11 or 12,,pos
Caribbean,countries also used,adult vaccination program,Caribbean countries also used adult vaccination program,,pos
religions with absolute objection,include,Faith Tabernacle,religions with absolute objection include Faith Tabernacle,,pos
SB 277,abolishes,personal belief exemption,SB 277 abolishes personal belief exemption,in CA,pos
UK government,agreed to pay $90 million in,financial compensation,UK government agreed to pay $90 million in financial compensation,,neg
infection,of cervix is primary anatomic site where persistent HPV infections can cause,cancer,infection of cervix is primary anatomic site where persistent HPV infections can cause cancer,,pos
compromise,aimed at mollifying hundreds of,parents,compromise aimed at mollifying hundreds of parents,angry California,pos
safe form of mercury,is often ridiculously claimed by,vaccine pushers,safe form of mercury is often ridiculously claimed by vaccine pushers,,neg
asthma,since the 1980s has significantly,increased,asthma since the 1980s has significantly increased,,neu
multi-site protection,"also observed, though at lower levels, in",women previously exposed to HPV,"multi-site protection also observed, though at lower levels, in women previously exposed to HPV",,pos
vaccines,many parents continue to withhold from,children,vaccines many parents continue to withhold from children,because of fear of vaccine-autism link,pos
parents,many testified against proposal for,SB 277,parents many testified against proposal for SB 277,,neu
parents,still some remain,worried,parents still some remain worried,,pos
Senator Jeff Stone,denounced,myth,Senator Jeff Stone denounced myth,,pos
vaccines,most should be voluntary said,Rand Paul,vaccines most should be voluntary said Rand Paul,KY Senator,neu
Jain study,findings indicated,protective effect of vaccines,Jain study findings indicated protective effect of vaccines,from autism,pos
pandemic H1N1 swine flu vaccine,causes no,harm,pandemic H1N1 swine flu vaccine causes no harm,,neg
Matthew Downing,simultaneous vaccinations caused,infant death after vaccination,Matthew Downing simultaneous vaccinations caused infant death after vaccination,,neg
Tdap vaccine,admittedly doesn't confer for up to six months,antibodies,Tdap vaccine admittedly doesn't confer for up to six months antibodies,,neg
